asal,tujuan
abiss,sangat
abistu,setelah itu
able,bisa
ac,pendingin
ac-nya,pendingin
access,akses
accessibility,kemudahan
ace,hebat
acnya,pendingin
ad1l,adil
additional,tambahan
admin,pengelola
adoh2,aduh
ads,iklan
adult,dewasa
aestethic,estetik
aesthetic,estetik
affordable,terjangkau
after,setelah
akhirnga,akhirnya
akhirny,akhirnya
akhrnya,akhirnya
akir2,sekarang
alasane,alasannya
alfamart,swalayan
alhamdlh,bersyukur
all,semua
allowed,diperbolehkan
almond,kacang
alsan,alasan
also,juga
always,selalu
ambiance,suasana
ambience,suasana
ambiencenya,suasananya
americano,kopi
amerikananya,kopinya
anabul,kucing
and,dan
angry,marah
anjirrrrrr,kacau
annoying,menyebalkan
another,lainnya
anter2,mengantar
antriaj,antrean
any,apa pun
anyway,bagaimana pun
apa2in,melakukan
aplikasi2,aplikasi
apps,aplikasi
arm,lengan
around,sekeliling
as,sebagai
asal2an,sembarangan
asem,asam
asikk,seru
astagfirullah,astaga
asupan,makanan
asyeeemmmm,asam
ate,makan
atealier,bangunan
atelier,bangunan
atmosphere,suasana
attirude,tingkah laku
attitude,tingkah laku
attitudenya,tingkah laku
authentic,asli
away,di luar
b0br0k,hancur
b1jak,bijak
baangeett,sangat
baangeettt,sangat
bag,tas
baguss,bagus
baguus,bagus
bahan2nya,bahan
bakery,toko kue
balence,seimbang
band,musik
bangetttt,sangat
bangetttttttttt,sangat
banner,iklan
banya,banyak
banyakk,banyak
baperista,penjual sensitif
barengin,bersama
barista,penjual
baristanya,penjualnya
baristas,penjual
bartendernya,penjual
barunyaa,baru
basic,sederhana
basic2,sederhana
basicly,pada dasarnya
bbrapa,beberapa
bca,baca
beatiful,indah
beda2in,membedakan
beefnya,makanannya
been,telah
before,sebelum
bela-belain,mengusahakan
belagu,sombong
berac,pendingin
berjam2,lama menunggu
berkeanekaragaman,beragam
berkemdaraan,memiliki kendaraan
berlama2,tinggal lama
berry,buah
berry2,buah
bersihh,bersih
bertnya,bertanya
best,terbaik
besti,sahabat
bestt,terbaik
better,lebih baik
betul2,sangat
betulin,memperbaiki
beturut2,berturutan
beverage,minuman
bgmn,bagaimana
bgs,bagus
bilangg,berkata
bilaperlu,bila perlu
bill,tagihan
bingitsssss,sangat
birthday,ulang tahun
bits,sedikit
biyoh,kacau
biyuuuuhhh,kacau
blank,kosong
blas,sama sekali
blend,bercampur
bngat,sangat
bnr2,sangat
boncafe,kopi
bonecafe,kopi
booster,pendorong
boothnya,tempatnya
box,kotak
branch,cabang
brand,merek
bread,roti
breakfast,sarapan
brefing,pengarahan
brew,meramu
brli,beli
bri,bank
brminyak,berminyak
brn4ma,bernama
brnama,bernama
brown,cokelat
brtbrangan,beterbangan
bu,ibu
buang2,membuang-buang
buanged,sangat
buangettt,sangat
budget,terjangkau
bukk,ibu
bulu2,berambut
bundling,paket
bundlingnya,paketnya
buruin,segera
burukk,buruk
busyiitt,sangat buruk
but,tetapi
butter,mentega
butterscotch,mentega
butuhh,butuh
buy,membeli
c3t4k,cetak
cabang2,cabang
cable,kabel
cafenya,tokonya
cairrr,cair
cake,kue
cakenya,kuenya
call,panggil
can,dapat
cancel,batal
cancelnya,batal
canela,minyak
cangkruk,duduk
cant,tidak dapat
capacity,kapasitas
capek2,melelahkan
capekk,lelah
caramel,gula
carbonara,saus
carbonaranya,sausnya
card,kartu
cash,tunai
cashback,uang kembali
cashier,kasir
cashiernya,kasirnya
casirnya,kasirnya
castamer,pelanggan
catching,menangkap
ceck,memeriksa
cedek,dekat
center,pusat
chair,kursi
charge,mengisi
charger,pengisi daya
charging,pengisi daya
chat,mengobrol
chatime,minuman
chatimenya,minumannya
check,memeriksa
cheese,keju
cheesefoamnya,kejunya
chheskee,keju
chestnut,kacang tanah
cheze,keju
chicken,ayam
chickinpop,ayam pop
chip,kentang goreng
choco,cokelat
chocolate,cokelat
choice,pilihan
choose,memilih
cihuyyyy,seru
cingure,cingur
city,kota
ckck,tertawa
ckp,cukup
class,berkelas
cleaning,membersihkan
clening,membersihkan
close,tutup
closed,tutup
clu,klub
club,klub
coba2,mencoba
cobaken,mencoba
cocot,berbicara
cod,memesan
coffee,kopi
coffeeshop,kedai kopi
cold,dingin
combo,berhadiah
come,datang
comend,terpuji
comfort,nyaman
comfortable,nyaman
comfy,nyaman
compare,membandingkan
complain,mengeluh
complete,penuh
concern,khawatir
cookies,kue
copyan,salinan
corn,jagung
corndognya,makanannya
costumer,pelanggan
counter,toko
